日付,平均気圧(hPa),降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均風速(m/s),最多風向,日照時間(h),最深積雪(cm),天気概況昼,天気概況夜
1996/9/1,1010.9,20.5,13.9,15.0,12.6,3.5,×,0,--,雨,雨
1996/9/2,1002.4,8.0,14.8,16.9,13.1,5.9,×,0,--,曇一時雨,曇
1996/9/3,1003.9,--,15.5,19.4,12.8,2.5,×,4.2,--,曇時々晴,曇時々晴
1996/9/4,1012.6,--,15.3,19.3,11.5,3.7,×,2.0,--,晴後曇,曇一時雨
1996/9/5,1009.0,10.0,13.7,16.1,10.8,2.8,×,0,--,曇時々雨,曇後晴一時雨、霧を伴う
1996/9/6,1007.4,--,15.7,19.6,12.4,2.7,×,8.5,--,晴,晴
1996/9/7,1010.4,--,14.0,17.4,10.6,2.4,×,9.5,--,晴,晴後曇一時雨
1996/9/8,1013.3,0.5,14.9,19.3,10.2,2.3,×,9.3,--,晴一時曇,晴後曇
1996/9/9,1013.6,7.5,15.3,18.9,11.5,3.3,×,1.3,--,曇一時霧,雨
1996/9/10,1007.6,8.5,16.3,17.7,15.2,2.6,×,0.7,--,雨後曇,曇
1996/9/11,1007.4,1.0,16.1,18.6,14.8,2.7,×,2.5,--,曇一時晴後霧,曇一時雨後晴、霧を伴う
1996/9/12,1011.7,--,15.2,20.5,10.8,2.2,×,11.9,--,快晴,晴後曇
1996/9/13,1013.8,0.0,14.4,18.0,10.2,1.8,×,0.7,--,曇,霧時々霧雨
1996/9/14,1015.1,0.0,17.3,21.2,14.4,2.2,×,4.3,--,曇後時々晴,曇
1996/9/15,1014.6,--,17.6,22.1,14.0,3.1,×,1.7,--,曇,曇後霧
1996/9/16,1012.9,--,15.1,18.8,11.0,2.6,×,8.7,--,晴一時霧,曇一時晴
1996/9/17,1010.2,--,16.6,18.3,15.3,3.1,×,0.7,--,曇,曇
1996/9/18,1010.0,24.0,17.7,21.0,15.3,2.5,×,4.3,--,曇一時晴,大雨
1996/9/19,1009.3,5.0,18.1,20.5,16.1,5.4,×,1.0,--,曇一時雨,曇
1996/9/20,1008.5,--,17.3,20.0,16.1,4.5,×,4.5,--,曇,曇後一時雨
1996/9/21,1006.1,43.5,16.1,16.8,14.0,4.8,×,0,--,大雨後曇,曇後晴、霧を伴う
1996/9/22,1009.2,25.5,16.0,20.4,11.4,4.1,×,5.3,--,曇,大雨
1996/9/23,1002.5,20.5,14.6,16.1,13.9,5.5,×,0,--,雨後曇,曇一時雨後晴
1996/9/24,1011.1,--,16.0,21.8,11.1,2.6,×,11.6,--,快晴,晴
1996/9/25,1010.5,0.0,16.6,19.3,12.3,3.2,×,3.8,--,曇時々雨後晴,晴
1996/9/26,1005.3,--,16.6,19.9,13.7,3.6,×,5.7,--,晴一時曇,曇後晴
1996/9/27,1009.6,0.5,11.5,16.7,6.7,2.5,×,5.6,--,晴時々曇一時雨、雷を伴う,晴
1996/9/28,1012.8,--,13.8,18.3,9.2,3.6,×,9.2,--,晴,快晴
1996/9/29,1012.9,--,14.6,20.5,9.6,2.6,×,11.0,--,快晴,快晴
1996/9/30,1010.3,--,12.9,17.5,6.1,2.5,×,8.9,--,晴,曇時々晴
