日付,平均気圧(hPa),降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均風速(m/s),最多風向,日照時間(h),最深積雪(cm),天気概況昼,天気概況夜
2002/2/1,1014.2,--,-6.4,-0.6,-14.3,4.8,×,9.4,1,晴,晴
2002/2/2,1015.0,--,-3.9,0.2,-13.3,3.7,×,6.6,1,晴一時曇,晴
2002/2/3,1020.1,--,-4.3,-0.1,-10.7,3.6,×,9.4,0,快晴,晴後一時霧
2002/2/4,1017.8,--,-5.6,0.7,-11.5,3.0,×,4.5,0,曇一時霧後晴,晴一時霧
2002/2/5,1014.4,--,-5.1,1.2,-12.0,2.0,×,4.5,0,晴時々霧後薄曇,薄曇
2002/2/6,1012.0,--,-2.4,3.6,-6.2,2.3,×,7.4,0,晴後時々霧,霧
2002/2/7,1006.3,0.0,-1.5,0.2,-4.0,2.2,×,0,2,曇時々雪、霧を伴う,曇時々雪、霧を伴う
2002/2/8,1000.1,1.0,1.5,5.3,-0.3,4.4,×,5.5,3,曇後晴、霧を伴う,晴一時曇、大風を伴う
2002/2/9,993.1,--,-1.2,2.4,-5.3,11.6,×,9.1,0,晴,晴
2002/2/10,998.3,--,-4.9,-2.4,-10.3,8.0,×,9.4,0,快晴,快晴
2002/2/11,999.0,--,-7.9,-2.2,-15.5,4.1,×,9.9,0,快晴,晴後曇一時雪
2002/2/12,999.6,3.0,-7.2,-2.8,-13.3,5.8,×,3.1,9,雪一時晴,曇時々晴後一時雪
2002/2/13,1011.7,0.5,-5.0,-0.5,-11.6,6.0,×,6.1,7,晴一時曇,快晴
2002/2/14,1013.3,--,-7.2,-0.7,-15.4,3.3,×,9.6,6,晴,晴
2002/2/15,1010.5,--,-4.1,1.3,-10.3,5.2,×,6.7,5,晴,晴
2002/2/16,1014.1,--,-2.6,1.5,-8.1,4.9,×,10.2,4,晴,晴
2002/2/17,1013.4,0.0,-3.4,1.5,-12.2,4.8,×,6.8,3,晴後時々曇,雪時々曇
2002/2/18,996.2,19.0,0.7,1.5,0.0,7.2,×,0,11,雪,雪
2002/2/19,990.9,7.0,-0.7,1.1,-3.4,9.9,×,1.8,20,曇時々雪、大風を伴う,曇後晴、大風を伴う
2002/2/20,1007.1,--,-1.4,1.3,-5.4,4.7,×,6.9,15,晴,晴
2002/2/21,1016.6,--,-2.2,2.1,-7.3,3.4,×,9.1,13,晴,晴後曇
2002/2/22,1009.6,4.0,-1.6,0.9,-6.0,3.7,×,0.4,18,曇後時々雪、霧を伴う,雪後時々曇、霧を伴う
2002/2/23,1002.8,1.0,0.8,4.0,-1.9,5.4,×,7.3,18,晴後一時雪,晴一時曇
2002/2/24,1012.2,--,-2.1,0.4,-6.4,5.2,×,10.3,12,快晴,晴
2002/2/25,1014.6,--,-1.5,2.7,-9.5,4.7,×,9.7,12,晴,晴
2002/2/26,1014.9,--,-1.2,3.2,-7.4,3.5,×,10.4,11,快晴,晴後霧
2002/2/27,1015.5,0.0,-2.1,1.6,-7.5,3.4,×,5.1,11,霧時々晴,晴後曇
2002/2/28,1013.7,0.0,0.6,2.1,-0.5,2.7,×,0,11,霧,霧一時霧雨
