日付,平均気圧(hPa),降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均風速(m/s),最多風向,日照時間(h),最深積雪(cm),天気概況昼,天気概況夜
2007/10/1,1012.7,--,12.2,18.0,4.9,3.3,×,11.0,--,晴,晴後霧
2007/10/2,1012.6,--,13.4,18.8,7.0,2.7,×,10.1,--,晴、霧を伴う,晴
2007/10/3,1017.8,0.0,13.0,17.8,8.9,4.0,×,8.2,--,晴後一時曇,霧雨後曇
2007/10/4,1016.6,0.0,13.9,17.5,11.1,2.6,×,5.7,--,曇時々晴,曇後時々霧
2007/10/5,1011.7,0.0,13.8,17.1,10.6,4.0,×,3.5,--,曇一時雨後晴,晴一時曇
2007/10/6,1012.5,--,13.9,20.6,9.7,3.8,×,9.3,--,晴,晴時々曇
2007/10/7,1012.5,0.0,14.1,16.5,10.3,5.8,×,4.6,--,晴後曇,薄曇後時々雨、大風を伴う
2007/10/8,994.9,2.5,15.5,18.4,12.1,12.7,×,1.8,--,曇時々雨一時晴、大風を伴う,晴、大風を伴う
2007/10/9,998.2,0.0,13.5,17.0,9.9,8.7,×,8.8,--,晴,晴
2007/10/10,1010.0,0.0,10.9,15.4,5.9,3.2,×,3.3,--,晴後曇一時雨,晴一時曇
2007/10/11,1007.2,0.0,11.0,15.0,7.2,3.3,×,2.2,--,曇一時雨後晴,晴後薄曇一時雨
2007/10/12,1006.4,--,11.5,17.1,6.3,7.2,×,9.7,--,晴、大風を伴う,晴一時曇
2007/10/13,1013.3,--,7.6,11.6,2.0,5.7,×,10.6,--,晴,快晴
2007/10/14,1011.2,--,8.7,14.6,0.9,5.5,×,7.7,--,晴後一時曇,曇一時晴
2007/10/15,1018.7,--,7.2,13.8,1.6,4.2,×,9.0,--,晴,快晴
2007/10/16,1022.8,--,5.7,12.5,-1.0,4.0,×,10.4,--,晴,晴後曇
2007/10/17,1016.9,11.0,7.9,12.9,1.9,6.3,×,0.7,--,曇後雨,雨後時々曇
2007/10/18,1018.0,0.0,9.3,12.3,5.1,6.9,×,0.1,--,曇時々雨,晴一時曇
2007/10/19,1020.2,0.0,8.8,13.9,1.3,4.4,×,4.5,--,晴後曇,曇時々雨
2007/10/20,1002.2,1.0,13.9,15.7,11.7,7.2,×,0,--,曇時々雨,曇一時雨後晴
2007/10/21,997.5,0.0,11.9,14.1,9.6,9.7,×,9.0,--,晴、大風を伴う,快晴
2007/10/22,1002.4,--,13.0,16.5,10.1,8.2,×,9.4,--,快晴,晴一時曇
2007/10/23,1010.0,0.0,9.6,12.5,4.9,8.6,×,9.3,--,晴,快晴
2007/10/24,1021.1,--,6.4,12.5,-0.5,3.5,×,10.2,--,快晴,快晴
2007/10/25,1022.4,--,7.4,13.5,0.2,3.9,×,8.7,--,晴後薄曇,晴後霧
2007/10/26,1016.0,40.0,8.8,13.8,2.6,3.9,×,4.5,--,晴後曇時々雨、雷・霧を伴う,大雨
2007/10/27,1010.3,3.5,9.6,12.3,6.9,5.9,×,0,--,曇,曇
2007/10/28,1007.0,--,10.3,13.8,7.0,5.1,×,6.8,--,晴,薄曇一時晴
2007/10/29,1009.8,9.0,9.9,16.6,6.4,5.2,×,2.8,--,晴時々曇後雨,曇時々雨
2007/10/30,1014.7,5.5,9.2,12.5,7.2,4.9,×,3.2,--,曇時々晴,曇一時雨
2007/10/31,1017.8,0.0,8.3,12.6,3.4,3.1,×,6.3,--,晴一時曇,霧時々晴後時々曇
