日付,平均気圧(hPa),降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均風速(m/s),最多風向,日照時間(h),最深積雪(cm),天気概況昼,天気概況夜
2009/4/1,1013.9,0.5,0.5,2.6,-1.0,3.4,南南東,2.7,0,雪後晴,晴
2009/4/2,1009.3,--,0.7,8.3,-3.8,4.1,北北東,10.1,--,晴,快晴
2009/4/3,1010.2,--,2.6,10.7,-3.1,4.2,北東,12.3,--,晴一時薄曇,快晴
2009/4/4,1012.5,--,2.3,5.9,-2.3,4.2,南,9.5,--,晴後薄曇,曇
2009/4/5,1000.6,0.5,3.7,6.5,1.0,2.7,南,1.3,--,曇一時雨,晴
2009/4/6,999.4,0.5,5.2,8.5,-0.3,8.5,南西,6.7,--,晴後雨一時曇、大風を伴う,曇後晴
2009/4/7,1008.2,--,3.0,6.5,-1.7,4.3,北東,11.2,--,晴,快晴
2009/4/8,1012.5,--,2.3,6.2,-2.5,3.7,南,10.7,--,晴一時曇,晴
2009/4/9,1011.8,--,5.0,11.2,0.3,5.6,南南東,12.2,--,晴,薄曇一時晴
2009/4/10,1005.0,--,7.3,14.4,3.4,7.8,南西,4.9,--,薄曇後晴,晴
2009/4/11,1018.0,--,4.6,10.0,2.0,5.2,南,10.9,--,晴,晴
2009/4/12,1010.9,0.0,3.8,6.7,-3.1,4.6,南,4.7,--,曇一時晴,霧一時曇
2009/4/13,999.8,--,5.3,10.8,3.0,2.9,南南東,9.0,--,薄曇後晴、霧を伴う,晴後曇
2009/4/14,1003.0,--,5.8,10.5,-0.1,7.1,北北東,4.6,--,曇,曇後雨
2009/4/15,998.5,11.5,3.8,8.4,-0.1,6.1,北北東,0.0,--,雨,曇時々雨
2009/4/16,1001.3,0.0,4.6,8.6,1.3,5.5,北北東,6.1,--,曇後晴,晴時々曇
2009/4/17,1011.4,--,3.2,7.8,-0.7,3.2,南,12.4,--,晴,晴後一時薄曇
2009/4/18,1009.1,0.0,3.8,8.3,-2.1,4.5,南,5.6,--,曇一時晴,曇後晴時々雨
2009/4/19,1012.3,0.0,7.2,13.5,3.8,4.7,北北東,7.3,--,晴後曇,曇後晴
2009/4/20,1016.3,--,5.4,10.0,1.6,3.1,南西,12.4,--,晴,晴後曇
2009/4/21,1014.0,2.0,4.7,9.0,1.1,5.0,北東,0.0,--,曇一時雨,雨
2009/4/22,995.8,89.5,6.9,8.7,4.9,6.1,東,0.0,--,大雨,雨時々曇
2009/4/23,1004.0,2.0,3.1,5.4,0.4,8.1,北北東,2.4,--,曇時々晴一時雨,晴
2009/4/24,1016.5,--,2.7,5.9,-0.4,3.9,南西,8.6,--,晴,晴
2009/4/25,1016.5,--,3.9,8.4,-1.4,3.3,北東,6.9,--,薄曇一時晴,曇後一時雪
2009/4/26,998.1,16.5,1.9,4.6,0.0,10.0,北東,0.0,4,雪,雪、大風を伴う
2009/4/27,992.8,4.0,2.2,5.1,-0.7,8.7,北,3.7,5,曇一時雪,晴
2009/4/28,1007.8,0.0,2.9,8.2,-3.1,4.0,北東,8.5,0,晴一時曇,曇一時雨後晴
2009/4/29,1011.9,--,4.1,7.4,1.3,3.5,南南西,11.1,--,晴,薄曇一時晴
2009/4/30,1008.9,--,10.8,19.0,3.2,5.6,南南西,11.5,--,晴一時薄曇,晴後一時曇
