日付,平均気圧(hPa),降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均風速(m/s),最多風向,日照時間(h),最深積雪(cm),天気概況昼,天気概況夜
2013/11/1,1016.8,--,6.5,12.0,0.9,5.1,北東,8.0,--,晴,快晴
2013/11/2,1017.2,--,6.7,11.5,-1.4,4.0,南南西,7.7,--,晴後曇,曇後一時晴
2013/11/3,1009.6,0.0,9.1,13.8,4.4,3.8,南西,2.9,--,曇一時雨後晴,晴後一時曇
2013/11/4,1008.3,0.0,8.1,14.0,3.9,4.1,北北東,5.6,--,晴一時曇,晴
2013/11/5,1014.7,--,7.3,12.2,1.7,4.3,南南西,9.6,--,快晴,快晴
2013/11/6,1014.2,--,8.5,13.9,0.3,5.7,南南西,5.5,--,曇一時晴,曇、大風を伴う
2013/11/7,1000.3,0.0,13.2,14.4,12.3,9.9,南南西,0.3,--,曇一時雨,曇時々雨後晴、大風を伴う
2013/11/8,1005.1,0.0,7.5,12.7,1.4,9.1,北,4.7,--,晴時々曇一時雨、大風を伴う,晴
2013/11/9,1022.6,--,4.8,9.7,-1.6,7.2,南南西,9.1,--,晴,晴後曇一時雨、大風を伴う
2013/11/10,997.7,15.5,9.3,14.8,2.3,13.2,南,0.3,--,雨後晴、大風を伴う,晴
2013/11/11,998.5,--,3.0,6.7,-0.2,4.8,西北西,8.3,--,晴後一時曇,晴一時曇
2013/11/12,1001.1,--,1.2,4.5,-2.2,4.6,西,9.5,--,晴,晴後一時薄曇
2013/11/13,1007.2,--,1.5,6.4,-3.2,4.0,北北東,8.6,--,晴後一時曇,晴
2013/11/14,1018.9,--,1.3,6.0,-3.8,3.0,南南西,9.3,--,快晴,晴後曇一時雨
2013/11/15,1015.1,17.5,6.3,10.0,-1.7,6.1,南東,0.0,--,雨時々曇,曇一時雨後晴、霧を伴う
2013/11/16,1010.9,--,6.6,10.6,3.3,6.9,北北東,8.2,--,晴,晴後曇
2013/11/17,1004.4,0.0,6.2,8.4,3.0,6.7,北,0.4,--,曇,曇後晴
2013/11/18,1003.6,2.0,5.8,10.7,-0.4,3.4,北北東,8.0,--,晴後一時曇,曇時々雨
2013/11/19,997.0,10.5,7.6,8.9,6.4,5.9,北北東,0.4,--,雨一時曇、雷を伴う,晴一時曇
2013/11/20,997.6,--,7.3,10.1,2.8,8.9,西南西,8.1,--,晴、大風を伴う,晴、大風を伴う
2013/11/21,997.8,--,6.7,9.9,2.4,6.5,西,5.9,--,曇一時晴,晴
2013/11/22,1003.3,0.0,4.9,10.2,-0.5,3.2,北東,5.7,--,晴後雨,晴一時雨
2013/11/23,1007.5,--,5.6,9.6,-1.5,6.2,南南西,7.2,--,晴,晴、大風を伴う
2013/11/24,1013.6,--,4.4,8.7,-0.4,4.1,北東,8.9,--,晴,曇
2013/11/25,1011.4,19.5,6.4,10.7,1.7,7.4,南東,0.0,--,曇時々雨,暴風雨
2013/11/26,992.8,23.5,9.9,12.3,4.3,11.1,南西,7.3,--,晴一時曇、大風を伴う,晴、大風を伴う
2013/11/27,1003.4,1.5,5.6,7.0,4.3,10.7,南西,7.9,--,晴後曇、大風を伴う,雨一時曇
2013/11/28,996.2,2.5,3.6,8.2,0.0,4.4,北東,4.6,0,晴時々曇,曇一時雪後晴、あられを伴う
2013/11/29,1000.4,0.0,1.8,5.3,-1.8,4.7,西,8.8,0,晴,晴時々曇
2013/11/30,1003.7,--,2.9,7.1,-1.3,5.3,南西,9.0,--,快晴,晴
