日付,平均気圧(hPa),降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均風速(m/s),最多風向,日照時間(h),最深積雪(cm),天気概況昼,天気概況夜
2018/3/1,994.6,29.5,-1.9,1.8,-8.1,7.0,北東,0.0,14,雪一時曇,雪時々曇
2018/3/2,976.4,0.0,1.0,3.4,-0.1,13.8,西,2.7,13,曇、大風を伴う,曇後晴、大風を伴う
2018/3/3,1005.2,--,0.9,3.4,-2.0,10.0,西,10.8,11,快晴、大風を伴う,晴時々曇
2018/3/4,1005.4,--,1.0,5.6,-4.4,7.1,北北東,2.8,10,曇,曇一時晴
2018/3/5,1010.5,2.5,-0.7,2.7,-2.9,4.7,北北東,0.0,13,曇後雪,雪時々曇
2018/3/6,1014.5,0.5,-2.8,0.8,-5.7,6.9,西北西,7.9,13,晴一時曇,晴
2018/3/7,1028.8,--,-4.0,-0.7,-10.8,5.2,西,11.1,10,晴,晴後時々曇
2018/3/8,1026.8,9.0,-1.0,4.0,-8.4,5.4,南東,1.3,10,曇後一時雨,暴風雨、霧を伴う
2018/3/9,1002.0,79.5,4.7,7.5,1.3,11.7,南南東,0.0,6,暴風雨、霧を伴う,曇
2018/3/10,1013.0,--,-1.2,1.4,-4.4,7.9,北北東,4.1,--,曇後一時晴,晴後曇
2018/3/11,1014.8,--,-1.9,0.1,-4.0,3.5,北東,2.3,--,曇,曇後一時晴
2018/3/12,1013.0,--,-0.2,3.3,-3.2,3.2,南南西,9.5,--,晴時々曇,曇一時晴
2018/3/13,1009.5,--,1.2,3.8,-1.3,3.1,南西,0.5,--,曇,晴時々曇
2018/3/14,1009.0,--,3.4,10.7,0.1,6.6,北東,9.7,--,晴一時曇,曇後一時雨
2018/3/15,1005.2,1.0,2.2,4.4,0.1,3.1,北北東,0.0,--,曇一時雨,曇後時々雨一時雪
2018/3/16,1006.9,0.0,-0.2,3.1,-5.3,7.3,北北東,0.8,0,曇一時雪,晴一時曇
2018/3/17,1018.0,--,-2.0,1.2,-7.5,7.0,南西,11.6,--,晴,快晴
2018/3/18,1013.3,--,1.9,4.6,-0.7,8.6,南西,11.6,--,快晴、大風を伴う,晴
2018/3/19,1004.2,--,2.8,8.1,-1.3,8.9,西,9.8,--,晴一時曇、大風を伴う,快晴
2018/3/20,1017.1,0.0,-2.1,1.8,-5.2,4.4,北北東,6.8,--,晴後曇一時雪,晴一時曇
2018/3/21,1018.3,--,-1.8,2.3,-7.8,4.8,南南西,11.7,--,晴後一時薄曇,曇時々晴
2018/3/22,1007.5,0.0,1.8,4.3,-0.3,5.6,北東,0.0,0,曇,曇時々雪
2018/3/23,1006.3,0.5,-0.3,2.4,-2.9,7.9,北北東,0.8,1,曇,曇
2018/3/24,1011.2,--,0.7,4.4,-3.0,3.0,南,9.2,--,晴一時曇,曇時々晴
2018/3/25,1007.2,0.0,4.0,9.5,0.4,6.4,南西,6.9,--,曇一時みぞれ後晴,曇一時晴
2018/3/26,1008.2,--,5.1,12.9,0.5,4.4,北東,7.2,--,晴後時々曇,晴
2018/3/27,1013.2,--,2.7,6.4,-1.0,3.6,南,7.7,--,晴時々曇,霧時々晴
2018/3/28,1004.8,--,4.9,9.2,-0.8,6.1,南南西,6.1,--,曇一時晴,曇、大風を伴う
2018/3/29,1004.5,0.0,7.7,13.4,1.5,5.9,北北東,3.0,--,薄曇一時晴,曇一時雪
2018/3/30,1013.8,0.0,2.8,6.7,-1.0,4.6,北北東,7.5,--,晴一時雪,晴
2018/3/31,1011.9,--,4.2,10.3,-2.9,6.4,南西,10.7,--,晴後曇,曇一時晴
