日付,平均気圧(hPa),降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均風速(m/s),最多風向,日照時間(h),最深積雪(cm),天気概況昼,天気概況夜
2021/6/1,1013.3,--,8.6,11.7,4.8,3.6,南西,14.2,--,晴,曇時々晴
2021/6/2,1013.9,0.0,11.4,15.7,5.2,3.6,南南東,10.5,--,晴後一時曇,曇後一時雨
2021/6/3,1012.8,0.0,14.5,18.5,12.6,2.9,東北東,4.2,--,曇時々晴,雨後曇時々霧
2021/6/4,1000.8,43.5,12.8,14.9,10.7,11.5,南東,0.0,--,雨時々曇、大風を伴う,雨後霧一時曇、大風を伴う
2021/6/5,993.7,0.0,13.8,17.8,9.9,5.0,南西,11.8,--,晴一時雨,晴後時々曇
2021/6/6,999.3,--,14.7,18.1,12.8,4.9,南南西,10.5,--,晴時々曇,曇時々晴
2021/6/7,1003.5,0.0,16.4,20.5,12.2,3.0,南,11.8,--,晴,晴一時雨
2021/6/8,1005.5,8.0,14.7,21.9,8.7,5.3,北東,7.9,--,曇時々晴一時雨、雷を伴う,曇時々晴
2021/6/9,1011.2,--,11.3,13.9,8.6,3.2,南西,11.5,--,晴,晴
2021/6/10,1012.9,--,14.0,18.5,8.3,2.4,南南東,13.9,--,晴,曇後晴時々霧
2021/6/11,1013.1,--,15.0,18.2,11.9,3.2,南南東,9.0,--,晴時々曇、霧を伴う,曇後時々霧
2021/6/12,1009.1,0.0,14.9,16.4,13.6,5.9,南南東,0.8,--,曇後一時雨,晴時々曇
2021/6/13,1003.7,0.0,17.4,23.4,13.3,4.4,南,14.0,--,晴,曇一時雨後晴
2021/6/14,1003.8,--,17.3,24.2,14.1,3.5,北北東,12.0,--,晴後一時曇、雷を伴う,曇後一時晴
2021/6/15,1006.7,--,13.3,17.3,11.0,3.8,北東,4.9,--,曇時々晴,曇時々晴
2021/6/16,1008.6,0.0,11.4,14.9,9.0,3.7,南南東,7.2,--,曇一時雨後晴,曇後一時雨一時晴
2021/6/17,1006.8,0.0,11.3,14.7,9.0,3.1,南南東,1.6,--,曇,雨後曇一時晴
2021/6/18,1002.9,0.0,10.7,13.4,9.3,3.0,南南東,0.0,--,曇時々雨,曇後一時晴
2021/6/19,1003.1,0.0,11.4,13.2,10.1,2.9,南,0.0,--,曇,曇時々雨
2021/6/20,1000.0,16.5,10.3,11.9,9.5,5.9,北北東,0.0,--,雨時々曇,雨
2021/6/21,1001.7,0.0,13.4,19.5,9.0,6.0,北東,4.6,--,曇一時雨後晴,晴一時曇
2021/6/22,1007.6,--,12.7,17.4,7.3,2.9,南,14.7,--,晴,晴後霧一時曇
2021/6/23,1010.1,0.0,11.5,13.9,10.4,3.7,南,1.0,--,曇後時々晴一時雨、霧を伴う,曇一時晴後霧時々雨
2021/6/24,1009.8,0.5,12.0,15.6,10.8,3.1,南,0.4,--,雨時々霧後曇,曇一時雨後霧
2021/6/25,1008.6,0.0,14.6,18.0,12.0,3.5,南南東,0.4,--,曇時々霧一時晴,霧時々曇
2021/6/26,1007.1,--,16.1,20.5,11.9,2.5,南,11.3,--,晴、霧を伴う,晴一時曇
2021/6/27,1007.7,0.0,16.3,21.3,12.5,3.4,北北東,11.9,--,晴後一時曇一時雨,曇時々晴後霧一時雨
2021/6/28,1004.9,0.0,14.5,19.3,12.6,2.8,南南東,7.6,--,晴時々曇,曇、霧を伴う
2021/6/29,1006.8,0.0,15.2,19.3,12.1,2.6,南東,1.5,--,曇後一時晴,曇時々雨
2021/6/30,1009.2,0.0,14.5,16.4,11.8,2.8,南南東,0.0,--,曇,曇後雨時々晴
