日付,平均気圧(hPa),降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均風速(m/s),最多風向,日照時間(h),最深積雪(cm),天気概況昼,天気概況夜
2023/8/1,1005.0,0.0,21.3,24.8,19.3,3.1,南東,9.3,--,晴時々曇一時雨,曇時々霧
2023/8/2,1001.9,--,21.7,26.5,17.7,4.3,南西,9.9,--,曇時々晴,晴後一時曇
2023/8/3,1001.9,0.0,22.4,24.5,20.5,4.6,南南西,3.0,--,曇一時晴後雨,曇後一時霧
2023/8/4,998.6,--,23.1,26.8,20.0,5.3,南西,11.0,--,晴,曇一時晴後時々雨
2023/8/5,1000.3,0.0,18.9,23.5,15.2,5.0,北東,0.0,--,曇後一時雨,曇時々雨
2023/8/6,1000.3,3.0,17.7,21.3,15.0,3.7,北北東,0.0,--,曇時々雨,雨時々曇、雷を伴う
2023/8/7,1006.7,4.0,17.8,21.0,15.4,4.9,北東,0.0,--,曇時々雨,雨時々曇、雷を伴う
2023/8/8,1010.5,52.0,16.4,18.0,15.0,6.3,北北東,0.0,--,雨後時々曇,大雨、雷・霧を伴う
2023/8/9,1009.2,42.0,20.8,23.0,16.2,4.4,南,0.0,--,曇時々霧一時雨,霧時々曇一時雨
2023/8/10,1009.9,0.0,23.0,25.4,20.7,7.9,南南東,9.3,--,曇一時雨後晴,曇時々晴一時雨、霧を伴う
2023/8/11,1007.8,0.0,23.0,25.7,20.3,5.3,南南西,0.4,--,曇一時雨,曇時々晴一時雨
2023/8/12,1007.9,0.0,19.8,23.7,16.3,7.6,北東,5.6,--,曇後一時晴一時雨,曇後一時雨
2023/8/13,1008.7,0.0,17.0,20.0,15.5,6.2,北東,0.0,--,曇後時々雨,曇時々雨
2023/8/14,1012.2,0.0,16.3,18.7,14.5,6.1,北東,0.0,--,曇後一時雨,曇
2023/8/15,1012.1,0.0,20.1,24.0,15.5,5.2,東南東,7.4,--,曇一時雨後晴,曇後一時雨
2023/8/16,1007.6,14.5,22.5,24.6,19.5,5.6,南東,0.1,--,曇後時々雨,雨時々曇、霧を伴う
2023/8/17,1002.8,7.5,22.5,23.8,21.3,11.2,南南東,0.8,--,曇一時霧,曇時々晴、大風を伴う
2023/8/18,1005.9,0.5,24.4,29.7,20.7,3.7,南南東,9.9,--,晴時々曇,雨後曇時々晴
2023/8/19,1009.5,0.0,23.3,27.1,20.2,3.1,南南東,8.3,--,晴時々曇,曇後一時雨、霧を伴う
2023/8/20,1007.5,2.5,23.1,26.4,21.9,1.6,北北東,2.3,--,雨時々曇一時晴、霧を伴う,霧時々曇一時雨
2023/8/21,1008.4,0.0,23.3,27.1,21.7,2.7,南南東,8.8,--,晴時々曇,曇時々雨、霧を伴う
2023/8/22,1008.4,2.5,23.6,25.0,21.7,3.3,南,0.0,--,雨時々曇,曇一時晴後雨時々霧
2023/8/23,1008.0,0.5,24.9,26.6,22.9,4.1,南,0.0,--,曇時々雨一時霧,雨一時曇後一時霧
2023/8/24,1007.2,0.5,24.8,27.8,22.6,3.4,南南東,1.2,--,曇時々霧,曇一時雨後時々晴、霧を伴う
2023/8/25,1006.1,0.0,25.3,28.8,23.6,2.9,南南東,7.5,--,曇一時雨後晴、霧を伴う,曇後霧時々晴
2023/8/26,1006.9,0.0,24.7,25.8,23.9,4.9,南南東,0.0,--,雨時々曇,曇後時々霧
2023/8/27,1006.8,--,25.2,28.1,23.5,5.2,南,5.2,--,曇後一時晴,曇後時々雨、霧を伴う
2023/8/28,1005.1,8.5,24.4,28.3,21.0,5.9,北北東,0.2,--,曇時々雨一時晴,曇時々晴一時雨
2023/8/29,1011.8,0.0,21.1,24.5,19.0,5.6,北北東,2.7,--,曇,曇一時雨
2023/8/30,1016.5,0.5,19.9,22.4,18.1,2.6,北東,0.0,--,曇時々雨,曇後時々雨
2023/8/31,1013.3,3.0,22.0,23.9,19.1,5.8,南南東,0.0,--,雨後曇,曇時々雨一時霧
