日付,平均気圧(hPa),降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均風速(m/s),最多風向,日照時間(h),最深積雪(cm),天気概況昼,天気概況夜
2024/5/1,1002.9,--,8.4,13.0,4.5,6.3,北,12.2,--,晴一時曇,晴
2024/5/2,1010.3,--,7.5,10.4,4.0,5.3,南南西,13.4,--,晴,曇時々晴
2024/5/3,1004.8,--,11.4,19.1,7.3,7.4,南西,10.4,--,晴時々曇、大風を伴う,晴時々曇
2024/5/4,1014.7,0.5,7.9,15.0,5.5,5.1,北東,11.3,--,晴後一時曇,曇時々雨
2024/5/5,1016.7,--,8.8,11.8,5.3,2.5,東北東,0.0,--,曇,曇後一時雨
2024/5/6,1009.5,1.0,10.5,16.0,6.3,2.8,北東,0.4,--,曇後時々雨,雨時々曇、霧を伴う
2024/5/7,1000.5,12.0,8.3,12.2,4.6,4.8,北東,0.0,--,雨時々曇,雨時々曇
2024/5/8,1003.4,0.0,5.7,9.0,2.6,7.8,北北東,3.4,--,曇一時雨後時々晴,晴後一時曇
2024/5/9,1009.8,--,4.4,7.7,0.7,4.2,南南東,9.9,--,晴時々曇,曇一時晴後一時霧
2024/5/10,1009.2,0.0,7.4,13.2,3.0,2.1,南西,5.1,--,晴一時霧後曇時々雨,曇時々晴一時雨
2024/5/11,1015.1,0.0,11.8,16.5,7.8,3.8,北東,3.8,--,曇時々晴,曇一時晴後霧時々雨
2024/5/12,1008.8,0.5,10.7,14.4,8.9,6.7,南,0.9,--,曇一時雨,霧時々曇後雨、大風を伴う
2024/5/13,1001.3,12.0,10.6,12.6,8.8,7.3,南,0.0,--,雨,曇一時雨後霧
2024/5/14,1012.2,--,11.3,16.3,8.1,3.0,南南東,11.9,--,晴、霧を伴う,晴
2024/5/15,1012.8,0.0,9.4,14.6,6.0,3.1,南南東,6.8,--,晴時々曇,曇一時雨
2024/5/16,1005.6,0.5,12.4,17.4,7.7,3.4,北東,5.4,--,曇時々晴一時雨、霧を伴う,雨時々曇
2024/5/17,998.3,0.5,10.8,14.0,9.2,6.5,南南西,6.0,--,曇後晴一時雨,晴
2024/5/18,1005.2,--,13.0,17.9,9.6,8.2,南西,13.8,--,晴,晴、大風を伴う
2024/5/19,1008.0,--,14.6,20.5,10.5,5.5,南南西,10.1,--,晴後一時曇,曇一時晴
2024/5/20,1008.8,--,11.7,17.4,8.7,3.4,北北東,0.6,--,曇,曇一時晴後一時雨
2024/5/21,1007.8,4.5,8.7,11.1,4.7,5.4,北北東,1.5,--,雨時々曇,晴
2024/5/22,1010.7,--,9.7,14.0,4.4,8.3,南南西,12.0,--,晴後一時曇、大風を伴う,×
2024/5/23,1001.4,--,11.6,14.9,9.2,5.8,南西,0.0,--,曇,曇後一時晴
2024/5/24,1000.4,14.5,8.8,14.1,4.9,6.3,北北東,0.4,--,雨一時曇,雨後曇時々晴
2024/5/25,1005.0,0.0,8.1,13.6,3.4,5.4,北,11.6,--,晴後一時曇,×
2024/5/26,1005.1,--,10.8,16.7,6.2,6.3,南西,9.6,--,晴後一時曇、大風を伴う,曇後時々雨
2024/5/27,998.7,2.0,11.8,14.6,10.0,4.7,南南東,0.0,--,雨時々曇、霧を伴う,霧一時雨後曇
2024/5/28,997.1,1.0,12.7,16.5,9.1,4.4,南南西,2.7,--,曇後一時晴,雨時々曇
2024/5/29,999.3,8.0,9.4,16.3,7.0,5.1,北東,1.5,--,曇時々雨一時晴,曇後雨時々晴
2024/5/30,1007.5,0.0,10.5,15.4,7.1,3.5,北東,10.0,--,晴時々曇,曇後一時雨
2024/5/31,1009.0,0.0,9.5,13.2,7.2,2.6,北東,0.4,--,曇時々雨,曇一時雨
