日付,平均気圧(hPa),降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均風速(m/s),最多風向,日照時間(h),最深積雪(cm),天気概況昼,天気概況夜
2024/12/1,1001.0,--,3.9,6.9,0.2,8.1,西,8.8,--,晴,晴
2024/12/2,1011.7,--,0.7,7.7,-5.4,3.5,北北東,8.9,--,晴一時曇,曇一時晴後一時雪、みぞれを伴う
2024/12/3,1006.6,0.0,4.6,10.7,-0.8,3.1,北北東,3.7,--,曇時々晴一時雨、みぞれを伴う,曇
2024/12/4,1005.8,1.0,-0.2,2.7,-4.7,3.0,北東,0.5,4,雪時々曇一時晴、霧を伴う,晴時々霧後曇
2024/12/5,999.5,--,-0.5,6.6,-7.7,6.0,西,3.0,2,曇時々晴,晴
2024/12/6,997.7,--,-2.2,1.3,-6.5,3.5,西北西,2.6,--,曇時々晴,晴時々曇、大風を伴う
2024/12/7,998.7,--,-1.3,2.4,-6.0,8.5,西,8.2,--,晴後一時曇、大風を伴う,晴後一時曇
2024/12/8,999.2,--,-1.8,2.1,-8.0,5.6,西北西,7.4,--,晴時々曇,晴後一時曇
2024/12/9,1003.1,--,-0.6,3.3,-4.8,4.9,西,6.3,--,晴後一時曇,晴後一時曇
2024/12/10,1006.1,--,-3.3,1.9,-8.1,2.9,北北東,8.6,--,晴時々曇,曇時々晴
2024/12/11,1000.7,--,-3.0,4.1,-8.2,5.2,西北西,4.7,--,曇後晴,晴
2024/12/12,1004.7,--,-3.8,0.4,-8.9,5.0,西北西,7.3,--,晴後一時曇,曇時々晴
2024/12/13,1004.3,--,-5.2,1.8,-12.0,4.4,北北東,7.7,--,晴時々曇,曇一時晴
2024/12/14,1002.2,--,-6.3,-1.1,-10.8,3.8,北北東,8.4,--,晴時々曇,曇
2024/12/15,997.7,0.5,-3.9,3.3,-11.9,4.8,西北西,5.5,2,曇後晴時々雪、みぞれを伴う,曇一時晴
2024/12/16,1002.9,--,-3.2,-1.0,-7.9,6.9,西,8.3,1,晴時々曇,曇一時晴
2024/12/17,1008.4,--,-4.4,-0.6,-8.4,4.9,西北西,8.6,--,晴時々曇,曇
2024/12/18,1008.2,--,-6.2,-0.5,-13.1,3.3,西北西,7.6,--,晴時々曇,曇
2024/12/19,1009.1,--,-4.6,1.9,-11.3,2.9,北,8.1,--,晴時々曇,曇
2024/12/20,1009.1,--,-4.0,0.8,-10.5,6.3,西,8.2,--,晴時々曇,曇
2024/12/21,1007.3,1.5,-6.9,-3.0,-12.3,5.2,北北東,0.0,2,曇時々雪,曇
2024/12/22,997.2,0.0,-2.7,-0.9,-4.6,6.0,北北東,0.0,1,曇後一時雪,曇後時々雪
2024/12/23,1000.3,1.5,-3.3,1.0,-8.5,3.7,北,5.5,6,曇時々晴一時雪,曇
2024/12/24,1006.2,--,-4.8,1.0,-10.2,2.7,北,8.3,4,晴時々曇,曇
2024/12/25,1015.2,--,-5.4,0.3,-12.0,3.2,北北西,8.6,3,晴時々曇,曇
2024/12/26,999.5,3.0,0.2,5.9,-8.6,5.8,西,6.3,3,雪一時雨後晴、大風を伴う,晴時々曇
2024/12/27,993.2,--,-3.0,-0.1,-4.3,11.4,西,8.6,--,晴,晴後一時曇、大風を伴う
2024/12/28,997.5,--,-4.1,0.4,-11.3,3.9,西,8.5,--,晴一時曇,晴後一時曇
2024/12/29,1004.3,--,-4.8,0.8,-11.2,4.8,西,8.1,--,晴一時曇,晴
2024/12/30,1011.1,--,-5.6,-1.6,-11.5,4.6,北東,8.3,--,晴一時曇,曇時々晴
2024/12/31,1000.3,4.0,-5.0,-2.3,-10.2,7.9,北北東,0.0,6,雪時々曇、霧を伴う,曇時々雪後晴
