日付,平均気圧(hPa),降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均風速(m/s),最多風向,日照時間(h),最深積雪(cm),天気概況昼,天気概況夜
2023/7/1,994.2,33.5,17.3,22.9,14.0,5.8,北北東,3.5,--,晴一時雨後曇,曇一時晴
2023/7/2,1003.0,0.0,16.1,19.3,12.9,3.9,南西,8.7,--,晴時々曇,曇一時雨
2023/7/3,1003.2,0.0,18.3,21.1,15.6,3.5,南南東,9.6,--,晴時々曇,曇一時晴後一時雨
2023/7/4,1002.6,--,17.1,21.9,13.9,4.5,北北東,7.8,--,晴時々曇,曇一時晴
2023/7/5,1000.4,0.0,16.1,23.1,13.8,4.1,南南西,6.1,--,晴時々曇、霧を伴う,雨時々曇、霧を伴う
2023/7/6,996.3,26.0,17.4,20.5,15.3,7.1,南,1.8,--,雨後曇時々晴,霧時々曇後晴、大風を伴う
2023/7/7,999.4,0.0,21.0,27.9,16.3,4.7,西南西,12.0,--,晴後曇一時雨、雷を伴う,晴後時々曇
2023/7/8,1002.3,--,20.1,27.6,17.0,3.2,北東,8.4,--,曇後時々晴,晴後霧時々曇
2023/7/9,1000.7,0.0,18.5,21.5,15.3,2.3,南,6.2,--,曇時々晴、霧を伴う,曇時々雨
2023/7/10,998.8,0.0,20.7,25.2,18.7,1.9,南,3.6,--,曇後時々晴,曇時々晴、霧を伴う
2023/7/11,999.8,0.5,19.8,24.1,17.3,2.5,南南東,2.9,--,曇後一時雨、霧を伴う,曇時々雨後霧
2023/7/12,997.1,24.5,19.3,22.3,16.3,2.8,南東,0.5,--,雨時々曇、霧を伴う,雨後曇時々晴、霧を伴う
2023/7/13,995.5,6.0,21.0,24.4,17.2,3.5,南南東,10.0,--,晴一時曇後一時雨、雷・霧を伴う,曇時々晴一時雨
2023/7/14,1002.5,0.0,19.4,22.9,17.4,3.4,北東,1.8,--,曇,曇後時々雨
2023/7/15,1002.6,18.5,18.0,20.2,16.5,3.9,東南東,0.0,--,雨,雨後時々曇
2023/7/16,1003.1,2.5,17.6,21.7,15.1,4.1,北北東,0.3,--,曇,曇一時雨
2023/7/17,1006.4,0.5,18.3,21.8,15.1,2.2,南東,5.2,--,曇時々晴一時雨,曇時々雨
2023/7/18,1005.7,0.0,18.2,23.9,15.5,2.7,北東,1.3,--,曇一時晴後一時雨,曇時々雨
2023/7/19,1004.3,0.5,17.6,20.2,14.8,2.1,南南東,0.5,--,曇一時雨,曇後一時雨
2023/7/20,1005.9,0.0,18.5,22.6,16.6,2.7,南南東,7.6,--,曇後晴,曇一時晴
2023/7/21,1012.7,--,18.9,21.3,17.1,3.9,南南西,3.5,--,曇後時々晴,曇一時晴
2023/7/22,1015.1,--,19.7,22.7,18.2,3.6,南西,3.4,--,曇後時々晴,曇時々晴、霧を伴う
2023/7/23,1012.0,0.0,20.1,22.9,18.1,4.2,南南東,1.0,--,曇一時雨,曇時々晴
2023/7/24,1007.8,0.0,20.6,22.3,19.0,3.2,南南東,0.5,--,霧一時雨後曇,曇時々雨
2023/7/25,1005.7,0.5,23.4,27.1,20.6,3.4,南南西,12.0,--,晴一時雨,晴一時曇
2023/7/26,1006.2,--,25.2,28.9,21.0,3.3,南,13.4,--,晴,晴後一時曇
2023/7/27,1005.8,--,24.6,29.3,20.8,2.2,西南西,10.5,--,晴一時曇,曇後晴一時霧
2023/7/28,1006.8,--,25.4,29.2,21.9,2.5,北北東,11.7,--,晴,曇時々晴
2023/7/29,1006.7,--,24.5,28.3,21.9,3.6,南,11.4,--,晴,曇時々晴
2023/7/30,1004.9,0.0,24.0,26.6,21.7,5.7,南西,2.2,--,曇一時晴後一時雨,曇
2023/7/31,1003.0,0.5,22.0,24.3,19.7,5.5,南西,0.0,--,雨時々曇、雷を伴う,雨後曇時々晴
